sd_ts_rasp/not;sd_tp_rasp/not;sp_not_tse/tp;ef_not;sd_rasp_ts/tp;ef_rasp
4.7332949576;3.3950741374;1.9938052466;49.8451311662;2.7796943273;69.4923581818
4.8934006181;3.4170137845;2.0125177137;50.3129428436;2.8820648804;72.0516220111
4.8903347788;3.4316613636;1.9967752315;49.9193807872;2.8455311657;71.1382791420
4.9055364828;3.4176813129;2.0045927346;50.1148183652;2.8772731840;71.9318295991
4.9296609020;3.3321990731;1.9499116251;48.7477906281;2.8847025312;72.1175632809
4.8702059837;3.4310663742;2.0061943477;50.1548586914;2.8476801819;71.1920045469
4.9013519102;3.5361514947;2.0127441553;50.3186038835;2.7898033852;69.7450846302
4.9120161783;3.4399659097;2.0044618238;50.1115455958;2.8622228144;71.5555703605
4.9050327978;3.4326192864;2.0074652529;50.1866313225;2.8685624837;71.7140620924
4.8871598385;3.3590041634;1.9746814041;49.3670351037;2.8730490296;71.8262257400
4.9073832880;3.4444308542;2.0162818640;50.4070466008;2.8726568603;71.8164215082
4.8826111512;3.4469640973;2.0075780953;50.1894523821;2.8437265136;71.0931628398
4.9161334577;3.4287635562;2.0023821787;50.0595544682;2.8709993741;71.7749843522
4.8648349134;3.4281669650;1.9949365644;49.8734141106;2.8309697712;70.7742442807
4.9054130993;3.4622678755;2.0046299287;50.1157482180;2.8402013551;71.0050338771
4.9046949094;3.4505362844;2.0091688489;50.2292212218;2.8558923637;71.3973090926
4.9169861799;3.4521316969;2.0020335973;50.0508399330;2.8515631482;71.2890787050
4.9245358047;3.4477623711;2.0013120349;50.0328008718;2.8585301744;71.4632543612
4.9128172879;3.4537506181;2.0057189133;50.1429728316;2.8530521283;71.3263032084
4.9424907978;3.4586231624;1.9988382933;49.9709573324;2.8564082894;71.4102072340
4.9258932305;3.4251259720;1.9941628834;49.8540720838;2.8679334798;71.6983369956
4.9014177123;3.4634932976;2.0144342217;50.3608555426;2.8507586780;71.2689669507
4.8632516355;3.4614992204;2.0186522392;50.4663059801;2.8361161389;70.9029034722
4.8812310609;3.4540772409;1.9979054287;49.9476357167;2.8233989442;70.5849736047
4.8623511638;3.4416785359;1.9992842675;49.9821066871;2.8245584483;70.6139612071
4.8297617407;3.4511409425;2.0321273891;50.8031847271;2.8438975051;71.0974376264
4.9043535973;3.4435621627;2.0030089697;50.0752242433;2.8527042004;71.3176050111
4.8589885435;3.4722647188;2.0124688458;50.3117211460;2.8161916956;70.4047923911
4.9051174728;3.4640460623;2.0035305829;50.0882645717;2.8370156437;70.9253910926
4.9263732094;2.9774827968;1.7273205023;43.1830125570;2.8579259822;71.4481495555
4.8501034016;3.3752156412;1.9667877530;49.1696938246;2.8262265245;70.6556631117
4.8766535574;3.4421661672;2.0003862026;50.0096550639;2.8340266033;70.8506650820
4.8792529210;3.4081420583;1.9802421835;49.5060545867;2.8350057869;70.8751446717
4.9473526088;3.4360174737;1.9892425687;49.7310642173;2.8642125621;71.6053140517
4.8985966695;3.4416572376;1.9888416843;49.7210421070;2.8307680220;70.7692005492
4.9084499237;3.2193878231;1.8642799056;46.6069976403;2.8423803105;71.0595077633
4.8966971588;3.4632128300;2.0180143914;50.4503597846;2.8533058237;71.3326455930
4.8858576502;3.4743441997;2.0139082960;50.3477074000;2.8320939692;70.8023492291
4.9225400007;3.4560865400;1.9974118084;49.9352952111;2.8449344110;71.1233602751
4.8704572371;3.4576822497;2.0023858141;50.0596453520;2.8205409796;70.5135244900
4.9224587067;3.4548388020;1.9995134725;49.9878368130;2.8489093315;71.2227332879
4.8163992111;3.4144188328;2.0037955520;50.0948887989;2.8265657461;70.6641436535
4.9119400370;3.4578484613;2.0087276959;50.2181923972;2.8534362055;71.3359051382
4.9352603019;3.4107726445;1.9792501117;49.4812527913;2.8639007996;71.5975199895
4.7999534037;3.4451721771;2.0255405560;50.6385139000;2.8220651353;70.5516283819
4.9004883180;3.4673884948;2.0202619260;50.5065481490;2.8552525863;71.3813146582
4.8738271419;3.4099146217;1.9742946398;49.3573659957;2.8218802724;70.5470068109
4.8905994151;3.4646634598;2.0111592859;50.2789821466;2.8388830665;70.9720766621
4.8958266987;3.4729671621;2.0253558273;50.6338956813;2.8551352980;71.3783824497
4.8420598686;3.4385838305;2.0047943982;50.1198599550;2.8230617542;70.5765438538
