codigo;tempo;cidades
ns;0.95580;005
ns;7.27120;010
ns;27.4049;015
ns;71.8370;020
ns;155.975;025
ns;280.145;030
ns;418.067;035
ns;505.145;040
ns;590.661;045
ns;693.904;050
ns;787.628;055
ns;916.831;060
ns;984.278;065
ns;1075.55;070
ns;1226.57;075
ns;1291.15;080
ns;1448.02;085
ns;1588.42;090
ns;1697.73;095
ns;1824.36;100
np;02.2410;005						
np;09.8790;010						
np;25.4210;015						
np;49.9130;020						
np;97.7670;025						
np;141.966;030						
np;211.765;035						
np;250.663;040						
np;272.251;045						
np;323.506;050						
np;359.835;055						
np;410.289;060						
np;435.140;065						
np;478.638;070						
np;533.827;075						
np;556.882;080						
np;634.073;085						
np;699.789;090						
np;740.603;095						
np;792.911;100						
rs;07.3654;005						
rs;30.5063;010						
rs;95.6420;015						
rs;224.335;020						
rs;462.626;025						
rs;861.960;030						
rs;1185.32;035						
rs;1459.45;040						
rs;1689.09;045						
rs;1915.18;050						
rs;2244.60;055						
rs;2465.79;060						
rs;2880.26;065						
rs;3219.54;070						
rs;3553.37;075						
rs;3797.54;080						
rs;4265.41;085						
rs;4756.19;090						
rs;5238.14;095						
rs;5777.20;100						
rp;07.0980;005						
rp;29.7980;010						
rp;79.1890;015						
rp;158.181;020						
rp;326.937;025						
rp;507.329;030						
rp;708.825;035						
rp;804.081;040						
rp;844.442;045						
rp;1049.87;050						
rp;1180.75;055						
rp;1336.32;060						
rp;1458.83;065						
rp;1614.59;070						
rp;1795.99;075						
rp;1930.37;080						
rp;2187.27;085						
rp;2418.45;090						
rp;2591.56;095						
rp;2903.30;100						
