cidades;sd_ts_rasp/not;sd_tp_rasp_not;sd_not_ts/tp;ef_not;sd_rasp_ts/parl;ef_rasp
005;7.7060054405;3.1673360107;0.4265060241;10.6626506024;1.0376725838;25.9418145957
010;4.1954973044;3.0162971961;0.7360259136;18.4006478389;1.0237700517;25.5942512920
015;3.4899598247;3.1151016876;1.0780417765;26.9510444121;1.2077687558;30.1942188940
020;3.1228336373;3.1691342937;1.4392442851;35.9811071264;1.4182171057;35.4554276430
025;2.9660266068;3.3440424683;1.5953747174;39.8843679360;1.4150310304;35.3757757611
030;3.0768352103;3.5735950861;1.9733245988;49.3331149712;1.6990158260;42.4753956506
035;2.8352393277;3.3472245177;1.9742025358;49.3550633957;1.6722322153;41.8058053821
040;2.8891704362;3.2078168697;2.0152355952;50.3808898800;1.8150534585;45.3763364636
045;2.8596606175;3.1017039423;2.1695457501;54.2386437515;2.0002439481;50.0060987019
050;2.7600071480;3.2452875681;2.1449493982;53.6237349539;1.8242068066;45.6051701639
055;2.8498225050;3.2813650701;2.1888587825;54.7214695624;1.9009951302;47.5248782553
060;2.6894705785;3.2570212704;2.2345980516;55.8649512904;1.8452092313;46.1302307830
065;2.9262667661;3.3525532013;2.2619800524;56.5495013099;1.9743630169;49.3590754235
070;2.9933894287;3.3733009080;2.2471053280;56.1776332009;1.9940294440;49.8507361002
075;2.8969973177;3.3643671077;2.2976919489;57.4422987222;1.9785021075;49.4625526868
080;2.9412074507;3.4663896481;2.3185342676;57.9633566896;1.9672601626;49.1815040640
085;2.9456844519;3.4495554928;2.2836802703;57.0920067563;1.9501067541;48.7526688520
090;2.9942899233;3.4559702996;2.2698556279;56.7463906978;1.9666273853;49.1656846327
095;3.0853787116;3.4992566868;2.2923617647;57.3090441168;2.0212304558;50.5307613947
100;3.1666995549;3.6615710969;2.3008383034;57.5209575854;1.9898735921;49.7468398030
