base;tempo;
tsrn;4.7332949576;
tsrn;4.8934006181;
tsrn;4.8903347788;
tsrn;4.9055364828;
tsrn;4.9296609020;
tsrn;4.8702059837;
tsrn;4.9013519102;
tsrn;4.9120161783;
tsrn;4.9050327978;
tsrn;4.8871598385;
tsrn;4.9073832880;
tsrn;4.8826111512;
tsrn;4.9161334577;
tsrn;4.8648349134;
tsrn;4.9054130993;
tsrn;4.9046949094;
tsrn;4.9169861799;
tsrn;4.9245358047;
tsrn;4.9128172879;
tsrn;4.9424907978;
tsrn;4.9258932305;
tsrn;4.9014177123;
tsrn;4.8632516355;
tsrn;4.8812310609;
tsrn;4.8623511638;
tsrn;4.8297617407;
tsrn;4.9043535973;
tsrn;4.8589885435;
tsrn;4.9051174728;
tsrn;4.9263732094;
tsrn;4.8501034016;
tsrn;4.8766535574;
tsrn;4.8792529210;
tsrn;4.9473526088;
tsrn;4.8985966695;
tsrn;4.9084499237;
tsrn;4.8966971588;
tsrn;4.8858576502;
tsrn;4.9225400007;
tsrn;4.8704572371;
tsrn;4.9224587067;
tsrn;4.8163992111;
tsrn;4.9119400370;
tsrn;4.9352603019;
tsrn;4.7999534037;
tsrn;4.9004883180;
tsrn;4.8738271419;
tsrn;4.8905994151;
tsrn;4.8958266987;
tsrn;4.8420598686;
tprn;3.3950741374;
tprn;3.4170137845;
tprn;3.4316613636;
tprn;3.4176813129;
tprn;3.3321990731;
tprn;3.4310663742;
tprn;3.5361514947;
tprn;3.4399659097;
tprn;3.4326192864;
tprn;3.3590041634;
tprn;3.4444308542;
tprn;3.4469640973;
tprn;3.4287635562;
tprn;3.4281669650;
tprn;3.4622678755;
tprn;3.4505362844;
tprn;3.4521316969;
tprn;3.4477623711;
tprn;3.4537506181;
tprn;3.4586231624;
tprn;3.4251259720;
tprn;3.4634932976;
tprn;3.4614992204;
tprn;3.4540772409;
tprn;3.4416785359;
tprn;3.4511409425;
tprn;3.4435621627;
tprn;3.4722647188;
tprn;3.4640460623;
tprn;2.9774827968;
tprn;3.3752156412;
tprn;3.4421661672;
tprn;3.4081420583;
tprn;3.4360174737;
tprn;3.4416572376;
tprn;3.2193878231;
tprn;3.4632128300;
tprn;3.4743441997;
tprn;3.4560865400;
tprn;3.4576822497;
tprn;3.4548388020;
tprn;3.4144188328;
tprn;3.4578484613;
tprn;3.4107726445;
tprn;3.4451721771;
tprn;3.4673884948;
tprn;3.4099146217;
tprn;3.4646634598;
tprn;3.4729671621;
tprn;3.4385838305;
ntsp;1.9938052466;
ntsp;2.0125177137;
ntsp;1.9967752315;
ntsp;2.0045927346;
ntsp;1.9499116251;
ntsp;2.0061943477;
ntsp;2.0127441553;
ntsp;2.0044618238;
ntsp;2.0074652529;
ntsp;1.9746814041;
ntsp;2.0162818640;
ntsp;2.0075780953;
ntsp;2.0023821787;
ntsp;1.9949365644;
ntsp;2.0046299287;
ntsp;2.0091688489;
ntsp;2.0020335973;
ntsp;2.0013120349;
ntsp;2.0057189133;
ntsp;1.9988382933;
ntsp;1.9941628834;
ntsp;2.0144342217;
ntsp;2.0186522392;
ntsp;1.9979054287;
ntsp;1.9992842675;
ntsp;2.0321273891;
ntsp;2.0030089697;
ntsp;2.0124688458;
ntsp;2.0035305829;
ntsp;1.7273205023;
ntsp;1.9667877530;
ntsp;2.0003862026;
ntsp;1.9802421835;
ntsp;1.9892425687;
ntsp;1.9888416843;
ntsp;1.8642799056;
ntsp;2.0180143914;
ntsp;2.0139082960;
ntsp;1.9974118084;
ntsp;2.0023858141;
ntsp;1.9995134725;
ntsp;2.0037955520;
ntsp;2.0087276959;
ntsp;1.9792501117;
ntsp;2.0255405560;
ntsp;2.0202619260;
ntsp;1.9742946398;
ntsp;2.0111592859;
ntsp;2.0253558273;
ntsp;2.0047943982;
rpsp;2.7796943273;
rpsp;2.8820648804;
rpsp;2.8455311657;
rpsp;2.8772731840;
rpsp;2.8847025312;
rpsp;2.8476801819;
rpsp;2.7898033852;
rpsp;2.8622228144;
rpsp;2.8685624837;
rpsp;2.8730490296;
rpsp;2.8726568603;
rpsp;2.8437265136;
rpsp;2.8709993741;
rpsp;2.8309697712;
rpsp;2.8402013551;
rpsp;2.8558923637;
rpsp;2.8515631482;
rpsp;2.8585301744;
rpsp;2.8530521283;
rpsp;2.8564082894;
rpsp;2.8679334798;
rpsp;2.8507586780;
rpsp;2.8361161389;
rpsp;2.8233989442;
rpsp;2.8245584483;
rpsp;2.8438975051;
rpsp;2.8527042004;
rpsp;2.8161916956;
rpsp;2.8370156437;
rpsp;2.8579259822;
rpsp;2.8262265245;
rpsp;2.8340266033;
rpsp;2.8350057869;
rpsp;2.8642125621;
rpsp;2.8307680220;
rpsp;2.8423803105;
rpsp;2.8533058237;
rpsp;2.8320939692;
rpsp;2.8449344110;
rpsp;2.8205409796;
rpsp;2.8489093315;
rpsp;2.8265657461;
rpsp;2.8534362055;
rpsp;2.8639007996;
rpsp;2.8220651353;
rpsp;2.8552525863;
rpsp;2.8218802724;
rpsp;2.8388830665;
rpsp;2.8551352980;
rpsp;2.8230617542;
