cidades;base;tempo
005;n1;07.7060054405
010;n1;04.1954973044
015;n1;03.4899598247
020;n1;03.1228336373
025;n1;02.9660266068
030;n1;03.0768352103
035;n1;02.8352393277
040;n1;02.8891704362
045;n1;02.8596606175
050;n1;02.7600071480
055;n1;02.8498225050
060;n1;02.6894705785
065;n1;02.9262667661
070;n1;02.9933894287
075;n1;02.8969973177
080;n1;02.9412074507
085;n1;02.9456844519
090;n1;02.9942899233
095;n1;03.0853787116
100;n1;03.1666995549
005;n2;03.1673360107
010;n2;03.0162971961
015;n2;03.1151016876
020;n2;03.1691342937
025;n2;03.3440424683
030;n2;03.5735950861
035;n2;03.3472245177
040;n2;03.2078168697
045;n2;03.1017039423
050;n2;03.2452875681
055;n2;03.2813650701
060;n2;03.2570212704
065;n2;03.3525532013
070;n2;03.3733009080
075;n2;03.3643671077
080;n2;03.4663896481
085;n2;03.4495554928
090;n2;03.4559702996
095;n2;03.4992566868
100;n2;03.6615710969
005;n3;00.4265060241
010;n3;00.7360259136
015;n3;01.0780417765
020;n3;01.4392442851
025;n3;01.5953747174
030;n3;01.9733245988
035;n3;01.9742025358
040;n3;02.0152355952
045;n3;02.1695457501
050;n3;02.1449493982
055;n3;02.1888587825
060;n3;02.2345980516
065;n3;02.2619800524
070;n3;02.2471053280
075;n3;02.2976919489
080;n3;02.3185342676
085;n3;02.2836802703
090;n3;02.2698556279
095;n3;02.2923617647
100;n3;02.3008383034
005;n4;01.0376725838
010;n4;01.0237700517
015;n4;01.2077687558
020;n4;01.4182171057
025;n4;01.4150310304
030;n4;01.6990158260
035;n4;01.6722322153
040;n4;01.8150534585
045;n4;02.0002439481
050;n4;01.8242068066
055;n4;01.9009951302
060;n4;01.8452092313
065;n4;01.9743630169
070;n4;01.9940294440
075;n4;01.9785021075
080;n4;01.9672601626
085;n4;01.9501067541
090;n4;01.9666273853
095;n4;02.0212304558
100;n4;01.9898735921
